,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,341,40,Monterrey,12,251,251,50,54,193
1,318,37,Necaxa,15,205,218,63,77,246
2,260,21,Tigres,16,215,203,36,65,194
3,346,49,Morelia,17,222,223,74,85,287
4,269,21,América,18,212,194,54,70,225
5,339,43,Atlas,19,213,243,53,77,231
6,314,41,Puebla,20,253,221,52,64,239
7,307,24,Toluca,21,222,228,55,83,244
8,290,20,Cruz Azul,22,190,228,42,60,187
9,288,13,Club Tijuana,23,188,240,35,78,201
10,333,27,Chivas,23,225,251,55,86,229
11,301,28,Santos,23,249,236,37,75,217
12,323,38,León,23,180,209,76,88,286
13,339,55,Pumas,25,230,230,54,78,233
14,299,37,Pachuca,25,213,218,44,73,228
15,327,45,Club Querétaro,27,197,237,45,81,238
16,328,36,Veracruz,28,248,225,67,94,281
17,290,22,Lobos BUAP,31,155,234,34,72,192
