,code,subject
0,ACCFIN,Accounting and Finance
1,ADED,Adult and Continuing Education
2,AMERST,American Studies
3,ARCH,Archaeology
4,ARTMED,Arts and Media Informatics
5,ASTRO,Astronomy
6,BIOL,Biology and Biomedical Sciences
7,CELTCIV,Celtic Civilisation
8,CEES,Central and East European Studies
9,CCPR,Centre for Cultural Research Policy
10,CHEM,Chemistry
11,CLASSIC,Classics
12,COMPLIT,Comparative Literature
13,COMPSCI,Computing Science
14,CRWRT,Creative Writing
15,CZECH,Czech
16,DENT,Dentistry
17,DUMF,Dumfries Campus
18,EARTH,Earth Sciences
19,ESH,Economic and Social History
20,ECON,Economics
21,EDUC,Education
22,ENG,Engineering
23,ENGLANG,English Language and Linguistics
24,ENGLIT,English Literature
25,FTV,Film and Television Studies
26,FRENCH,French
27,GAELIC,Gaelic
28,GEOG,Geography
29,GERMAN,German
30,GREEK,Greek
31,HISP,Hispanic Studies
32,HIST,History
33,HISTART,History of Art
34,ITALIAN,Italian
35,LANGCTR,Language Centre
36,LATIN,Latin
37,LAW,Law
38,MGT,Management
39,MATHS,Mathematics
40,MED,Medicine
41,MODLANG,Modern Languages
42,MUSIC,Music
43,NANKAI,Nankai University Collaboration
44,NURSING,Nursing and Healthcare
45,PHIL,Philosophy
46,PHYS,Physics
47,POLISH,Polish
48,POLITIC,Politics
49,PSYCH,Psychology
50,PUBPOL,Public Policy
51,RUSSIAN,Russian
52,SCOTLIT,Scottish Literature
53,SIT,Singapore Institute of Technology
54,SLAV,Slavonic Studies
55,SPS,Social and Political Sciences
56,SOCIO,Sociology
57,STATS,Statistics
58,THEATRE,Theatre Studies
59,TRS,Theology and Religious Studies
60,UESTC,University of Electronic Science and Technology of China
61,URBAN,Urban Studies
62,VETSCI,Veterinary Bioscience
63,VETMED,Veterinary Med and Surgery
